date,tweet,word_count,tokens,tokens_count
2019-08-02,A coworker quit today I got back office shriek-laughed insane jealousy.,11,"['A', 'coworker', 'quit', 'today', 'I', 'got', 'back', 'office', 'shriek-laughed', 'insane', 'jealousy.']",11
2019-08-03,*hot dad,2,"['*hot', 'dad']",2
2019-08-04,"This beautiful! Does Instagram anything? If I order food third time row, insanity? Or quest really fucking good? I picked entire apartment AND fully cleaned bathroom. Not bad girl seratonin. 🤣🤣 THE HAIR 😍😍",34,"['This', 'beautiful!', 'Does', 'Instagram', 'anything?', 'If', 'I', 'order', 'food', 'third', 'time', 'row,', 'insanity?', 'Or', 'quest', 'really', 'fucking', 'good?', 'I', 'picked', 'entire', 'apartment', 'AND', 'fully', 'cleaned', 'bathroom.', 'Not', 'bad', 'girl', 'seratonin.', '🤣🤣', 'THE', 'HAIR', '😍😍']",34
2019-08-05,"It fits, believe ;) Thank you!",6,"['It', 'fits,', 'believe', ';)', 'Thank', 'you!']",6
2019-08-06,*multitasking AND FOR WHAT. I’m angry. I wanna punch Ross face. Seriously bullshit. It’s creative amazing show. Like season incredible!!!! Are trying cancel The OA?!?!?!!?!?? NO. My sister I saying this!!! Butter emoji riot!,34,"['*multitasking', 'AND', 'FOR', 'WHAT.', 'I’m', 'angry.', 'I', 'wanna', 'punch', 'Ross', 'face.', 'Seriously', 'bullshit.', 'It’s', 'creative', 'amazing', 'show.', 'Like', 'season', 'incredible!!!!', 'Are', 'trying', 'cancel', 'The', 'OA?!?!?!!?!??', 'NO.', 'My', 'sister', 'I', 'saying', 'this!!!', 'Butter', 'emoji', 'riot!']",34
2019-08-07,It’s 2019 mood year The prophecy fulfilled! I’m hype,9,"['It’s', '2019', 'mood', 'year', 'The', 'prophecy', 'fulfilled!', 'I’m', 'hype']",9
2019-08-08,I double horrified Bumble here!,5,"['I', 'double', 'horrified', 'Bumble', 'here!']",5
2019-08-09,They wanna now???,3,"['They', 'wanna', 'now???']",3
2019-08-11,😍😍😍😍😍😍😍😍 This best compliment I’ve ever gotten ngl You know well. Secrets out. I huge cock separate account it. Omg out?!?!?!??,21,"['😍😍😍😍😍😍😍😍', 'This', 'best', 'compliment', 'I’ve', 'ever', 'gotten', 'ngl', 'You', 'know', 'well.', 'Secrets', 'out.', 'I', 'huge', 'cock', 'separate', 'account', 'it.', 'Omg', 'out?!?!?!??']",21
2019-08-12,"Honestly I disappointed The Exorcist novel. But yeah I’m comparison it’s worse. This empathetic emotional, uncertain. I loved it.",19,"['Honestly', 'I', 'disappointed', 'The', 'Exorcist', 'novel.', 'But', 'yeah', 'I’m', 'comparison', 'it’s', 'worse.', 'This', 'empathetic', 'emotional,', 'uncertain.', 'I', 'loved', 'it.']",19
2019-08-13,This would cool,3,"['This', 'would', 'cool']",3
